V1 |16 23 13.67 -26 30 53.6|0.28888261|-0.5392786|11.278|0.007| |11.244|0.021|c|0.10|0.01|0.09|0.04|RRc
V2 |16 23 16.30 -26 34 46.6|0.5356819 |-0.271093 |10.976|0.027|c|10.908|0.010| |0.25|0.06|0.28|0.02|RRab*
V3 |16 23 19.47 -26 39 57.0|0.50667787|-0.2952681|      |     | |10.982|0.008| |    |    |0.26|0.01|RRab
V5 |16 23 21.03 -26 33 05.8|0.62240112|-0.2059296|10.815|0.012| |10.758|0.009| |0.15|0.04|0.15|0.02|RRab
V6 |16 23 25.79 -26 26 16.3|0.3205151 |-0.4941515|11.201|0.013| |      |     | |0.10|0.02|    |    |RRc
V7 |16 23 25.95 -26 27 41.9|0.49878722|-0.3020847|11.020|0.013| |10.977|0.010| |0.27|0.02|0.28|0.01|RRab
V8 |16 23 26.16 -26 29 41.6|0.50822359|-0.2939452|10.941|0.013| |10.896|0.009| |0.28|0.02|0.27|0.01|RRab
V9 |16 23 26.80 -26 29 48.0|0.57189447|-0.2426841|10.869|0.012| |10.814|0.011| |0.26|0.02|0.26|0.02|RRab
V10|16 23 29.21 -26 28 54.3|0.49071753|-0.3091684|11.046|0.015| |11.002|0.011| |0.32|0.03|0.32|0.01|RRab
V11|16 23 29.98 -26 36 24.5|0.49320868|-0.3069693|      |     | |11.029|0.010| |    |    |0.26|0.02|RRab*
V12|16 23 30.82 -26 34 58.9|0.4461098 |-0.3505582|11.160|0.023| |11.097|0.013| |0.34|0.04|0.34|0.01|RRab
V14|16 23 31.29 -26 35 34.5|0.46353111|-0.3339211|11.140|0.017| |11.083|0.014| |0.32|0.05|0.31|0.04|RRab*
V15|16 23 31.96 -26 24 18.1|0.44366077|-0.352949 |11.170|0.014| |      |     | |0.31|0.02|    |    |RRab*
V16|16 23 32.50 -26 30 23.0|0.54254824|-0.2655616|10.880|0.011| |10.834|0.008| |0.24|0.03|0.24|0.01|RRab
V18|16 23 34.70 -26 31 04.6|0.47879201|-0.3198531|10.980|0.016| |10.896|0.014| |0.27|0.04|0.25|0.03|RRab
V19|16 23 35.05 -26 25 36.3|0.46781108|-0.3299295|11.101|0.014| |      |     | |0.27|0.03|    |    |RRab
V20|16 23 35.39 -26 32 35.9|0.30941948|-0.5094523|10.953|0.031| |10.901|0.031| |0.09|0.06|0.06|0.06|RRc
V21|16 23 35.93 -26 31 33.6|0.47200742|-0.3260512|10.752|0.016| |10.727|0.016| |0.22|0.04|0.24|0.03|RRab
V22|16 23 36.95 -26 30 13.0|0.60306358|-0.2196369|10.795|0.014| |10.744|0.009| |0.18|0.04|0.18|0.02|RRab*
V23|16 23 37.33 -26 31 56.1|0.29861557|-0.5248876|11.053|0.011| |11.043|0.013| |0.09|0.02|0.08|0.04|RRc
V24|16 23 38.04 -26 30 41.8|0.54678333|-0.2621847|10.922|0.012| |10.900|0.010| |0.22|0.02|0.23|0.03|RRab*
V25|16 23 39.42 -26 30 21.3|0.61273479|-0.2127275|10.805|0.013| |10.741|0.010| |0.26|0.04|0.28|0.02|RRab
V26|16 23 41.65 -26 32 41.1|0.54121739|-0.2666283|10.938|0.013| |10.873|0.017| |0.32|0.02|0.28|0.04|RRab
V27|16 23 43.17 -26 27 16.3|0.61201829|-0.2132356|10.814|0.012| |      |     | |0.24|0.03|    |    |RRab
V28|16 23 53.60 -26 30 05.3|0.52234107|-0.2820458|10.984|0.013| |10.928|0.014| |0.36|0.02|0.36|0.02|RRab*
V29|16 23 58.25 -26 21 35.1|0.52248466|-0.2819265|10.977|0.013|c|      |     | |0.29|0.03|    |    |RRab*
V36|16 23 19.45 -26 35 49.0|0.54130918|-0.2665546|      |     | |10.900|0.011| |    |    |0.28|0.03|RRab
V37|16 23 31.60 -26 31 30.6|0.24734353|-0.6066994|11.411|0.013| |11.376|0.007| |0.06|0.03|0.05|0.01|RRc
V38|16 23 32.87 -26 33 03.5|0.57784635|-0.2381876|10.755|0.012| |10.708|0.011| |0.19|0.03|0.20|0.03|RRab*
V39|16 23 34.67 -26 32 52.1|0.623954  |-0.2048474|10.823|0.012| |10.779|0.008| |0.17|0.03|0.18|0.02|RRab*
V40|16 23 34.59 -26 30 44.2|0.38533005|-0.4141671|10.875|0.020| |10.822|0.011| |0.07|0.04|0.08|0.02|RRc
V41|16 23 39.50 -26 33 59.8|0.2517418 |-0.5990447|11.451|0.011| |11.411|0.007| |0.09|0.03|0.08|0.01|RRc
V42|16 24 02.00 -26 22 13.0|0.3068549 |-0.5130669|11.286|0.032|c|      |     | |0.09|0.06|    |    |RRc
V49|16 23 45.25 -26 31 28.4|0.22754331|-0.6429359|11.470|0.011| |11.448|0.010| |0.05|0.03|0.06|0.02|RRc
V52|16 23 24.06 -26 30 27.8|0.85549784|-0.0677811|10.488|0.015| |10.428|0.015| |0.13|0.02|0.14|0.02|RRab
V61|16 23 29.76 -26 29 50.3|0.26528645|-0.5762849|11.433|0.015| |11.361|0.006| |0.04|0.03|0.04|0.01|RRc
C1 |16 23 36.43 -26 30 42.8|0.2862573 |-0.5432434|11.244|0.029| |11.168|0.032| |0.07|0.06|0.11|0.06|RRc
