log_sqred_OIII_5007_EQW,D4000_N,log(OIII_5007/H_BETA),log(NII_6584/H_ALPHA),Target_class
1.9197306804380332,1.1804616,-0.052195426,-0.61227447,SF
0.6752202599031984,1.2417256,-0.41487992,-0.45423597,SF
0.46028066991182515,1.966482,0.14555812,-0.17305028,PASS
1.0715412403767262,1.1987163,-0.21038462,-0.54183006,SF
1.8645270345876894,1.221726,0.011108313,-0.6574791,SF
0.8454711300442892,1.243614,-0.46647465,-0.47985148,SF
0.09997534025595532,1.4861668,-0.5432617,-0.29364488,SF
1.7961600112017564,1.1672572,0.061052885,-0.69571155,SF
2.8619695307345157,1.1445904,0.20115222,-0.8189358,SF
1.7016882068510857,1.3850354,-0.19833198,-0.49619347,SF
-2.8151956912421507,1.5943818,-0.5868112,-0.3278031,PASS
2.1541851178063274,1.2097607,0.050917577,-0.6392636,SF
2.1293134541422183,1.349638,0.47662038,-0.4538455,AGN
1.1616835128484637,1.188078,-0.24278235,-0.57692343,SF
-1.1282857329098037,1.8759215,-1.0813767,-0.08463061,PASS
0.3160603800732091,1.3022225,-0.5194156,-0.48916054,SF
3.653730165142675,1.125337,0.48099706,-1.113989,SF
2.9900462703433037,1.1176317,0.36357707,-1.0337657,SF
2.411183992765065,1.2551211,0.36899036,-0.22045498,AGN
0.45188810167945936,1.2830666,-0.638957,-0.43350434,SF
-0.036744541478476195,1.9012666,-0.12927935,0.14445598,PASS
1.3504033517314467,1.1429602,-0.14144187,-0.6263062,SF
-1.0415679829134896,1.5458127,-0.26549026,-0.21448994,PASS
1.7822465957838514,1.1706831,-0.18569468,-0.531632,SF
0.6766820632561334,1.3028238,-0.27873138,-0.515152,SF
2.152874237195697,1.2427094,-0.00844645,-0.6220416,SF
-0.18769632051726623,1.5345489,0.02181202,0.34971827,PASS
-0.16966626305840002,1.9215124,-0.12595819,-0.10540606,PASS
-0.15481266863106172,1.9116342,0.12260305,0.3032505,PASS
0.6612702113103969,1.6051102,0.4474151,0.12673108,PASS
-0.17374352315901256,1.5981504,-0.32745522,-0.41923583,PASS
3.579358103618767,0.9820135,0.008865136,-0.5967343,SF
-0.601725475282759,1.2638485,-0.74980205,-0.41286385,SF
-3.121040731555947,1.849206,-0.3547687,-0.13265449,PASS
1.758278005487449,1.2089316,-0.07790476,-0.7430129,SF
2.263551285464495,1.1589632,-0.04055837,-0.6626435,SF
1.5228811987335846,1.1290858,-0.2529708,-0.5987401,SF
2.067498065610902,1.1956047,-0.006838662,-0.70487285,SF
0.19194442127237218,1.2312651,-0.81423545,-0.43725002,SF
-0.8434000548280962,1.6736478,-0.2854149,-0.13385975,PASS
2.382474951552041,1.2466211,0.20525406,-0.7626829,SF
-0.3348128162514863,1.8621132,-0.05156855,0.050005034,PASS
0.4398781978312666,1.3732756,-0.6015879,-0.3425185,SF
0.39478157199758174,1.2886889,-0.66773784,-0.43324757,SF
0.6374528859273654,1.3208144,-0.31170067,-0.47272563,SF
0.3655801784149927,1.2644893,-0.4429983,-0.4820013,SF
0.19600320575806618,1.8692813,0.30624026,-0.17836082,PASS
0.4899492970270228,1.3191793,-0.51597154,-0.48077884,SF
1.09707560464784,1.1801373,-0.28213745,-0.5366964,SF
1.566815901707403,1.2238941,-0.05527836,-0.6141386,SF
1.2574412087020592,1.2316245,-0.21288279,-0.58566177,SF
0.9779611360881204,1.2486104,-0.38297927,-0.4927631,SF
2.095439679762904,1.2447453,0.2151085,-0.8411138,SF
1.1439466664509796,1.746133,0.4386439,0.13338095,AGN
2.610495069707928,1.1755618,0.18032083,-0.8216722,SF
1.8779388946960744,1.1209205,-0.29835933,-0.48671824,SF
0.7735326175403349,1.5387121,-0.33549374,-0.552112,SF
1.140549734228644,1.1893724,-0.3428673,-0.5190121,SF
-0.13929994992538292,1.4868952,-0.43856627,-0.38832286,SF
-0.15864660189013918,1.2568978,-0.84276295,-0.36502674,SF
0.4083726864224172,1.2946299,-0.5615542,-0.41454053,SF
1.1360333738843744,1.1873208,-0.42761478,-0.5195949,SF
1.735902848140119,1.2260287,0.0889089,-0.6750688,SF
0.5085942383872132,1.2367188,-0.67372036,-0.32775664,SF
1.91972887033615,1.178028,0.11842426,-0.74882835,SF
2.878251177279564,1.1154596,0.30105856,-0.93994606,SF
0.7944770518017589,1.320955,-0.50424767,-0.33473843,SF
0.7002574133624098,1.2994813,-0.6964014,-0.27675295,SF
0.1680139941730736,1.1720523,-0.7286018,-0.44999245,SF
2.051646128242721,1.2043358,0.08190458,-0.67932916,SF
1.5716166267310614,1.1859925,-0.16668963,-0.60784394,SF
2.0708650801507864,1.2785203,0.24044164,-0.90102994,SF
0.9025420763028336,1.222994,-0.38523015,-0.4469241,SF
1.1148503669663448,1.2156496,-0.25959295,-0.49868837,SF
1.897770497345269,1.168976,-0.08231529,-0.6441023,SF
0.8048319619401099,1.2268658,-0.45007026,-0.47847956,SF
3.0482767284710284,1.1849909,0.41543928,-1.0257566,SF
-0.9013082725620749,1.7561625,-0.3753293,0.09032355,PASS
-0.15295568426066924,2.0804427,-0.050359298,-0.1522876,PASS
1.2354698301058769,1.2431667,-0.24254102,-0.58103657,SF
0.9719121048481357,1.2371012,-0.42529982,-0.47970635,SF
2.8432091697825497,1.158147,0.35768545,-0.96286935,SF
3.0573153306415213,1.0918088,0.48625675,-1.2175673,SF
1.094766466735079,1.2351087,-0.35690743,-0.4810316,SF
-0.4268783540418658,1.7284243,-0.21896617,-0.12583628,PASS
2.2157635837886653,1.1705642,-0.008002223,-0.65641874,SF
1.700208115735258,1.2443599,-0.09331106,-0.58384645,SF
2.4901859522025624,1.1785755,0.20225704,-0.8448307,SF
1.64716675191738,1.2390785,-0.14280316,-0.6178169,SF
-0.6084119254778958,1.9515944,-0.117287554,-0.38742673,PASS
-0.3269620039477539,1.316556,-0.87025344,-0.4718709,SF
1.7061454971675742,1.53624,0.11224485,-0.47104785,SF
0.4935664325619312,1.2464694,-0.3229331,-0.58511066,SF
1.23396060873476,1.1643921,-0.45642847,-0.45466715,SF
0.032000740211426855,1.6615895,0.14332625,-0.08092052,PASS
1.2950486551349396,1.2196422,-0.31640467,-0.5531155,SF
1.0724186529425455,1.2121308,-0.46119112,-0.47897848,SF
0.5185549575779071,1.3757186,-0.5530032,-0.41802505,SF
0.7033429745111422,1.3151258,-0.53918576,-0.30364382,SF
3.2465539619170043,1.0599213,0.26095474,-0.8295919,SF
4.24563855146469,1.0204363,0.5598258,-1.2635465,SF
2.1511074259539074,1.7998732,0.6409449,-0.31027862,AGN
1.346109970921452,1.1475056,-0.4293217,-0.4167042,SF
-0.21891988762920592,1.5023042,-0.58625615,-0.28975445,SF
0.8736162410381827,1.034111,-0.87416583,-0.31274474,SF
2.0531098348485575,1.1000234,0.039559208,-0.6869397,SF
2.093375840415495,1.2059277,0.074076526,-0.6571453,SF
0.3531748061851957,1.3642596,-0.6500547,-0.34031355,SF
2.6635437645825712,1.1577295,0.4020432,-1.0823492,SF
-0.4670081891485926,1.9519366,0.0049150595,-0.10237431,PASS
1.6121962578117406,1.1838369,-0.025035353,-0.6633089,SF
2.4153386283374214,1.1459336,0.24555781,-0.8635186,SF
2.6913944855067666,1.2206807,0.35940748,-0.9803194,SF
