Name,RAJ2000,DEJ2000,U,e_U,B,e_B,V,e_V,I,e_I,J,e_J,H,e_H,K,e_K,[3.6],e_[3.6],[4.5],e_[4.5],[5.8],e_[5.8],[8.0],e_[8.0],[24],e_[24],SpT
BAT99-1,71.38437638888888,-70.25302888888888,15.001,0.037,15.647,0.029,15.778,0.1701,15.643,0.034,15.288,0.029,15.114,0.034,14.79,0.047,14.121,0.039,13.618,0.032,13.437,0.046,12.996,0.051,,,WR
Sk -67 1,71.42275249999999,-67.5705261111111,12.829,0.038,13.72,0.025,13.668,0.0331,13.413,0.047,13.362,0.026,13.276,0.024,13.056,0.024,12.601,0.039,12.411,0.027,12.141,0.037,11.838,0.045,,,OBAe
Sk -70 1a,71.86499777777777,-70.56269833333333,12.693,0.01,13.654,0.01,13.716,0.0101,13.685,0.039,13.713,0.023,13.711,0.026,13.714,0.031,13.723,0.037,13.743,0.036,13.731,0.048,,,,,OBA
Sk -69 8,72.3293761111111,-69.43183138888888,10.838,0.06,11.714,0.078,11.572,0.1681,11.461,0.04,11.288,0.022,11.208,0.021,11.187,0.019,11.1,0.031,11.052,0.03,11.031,0.026,11.023,0.043,,,OBA
BAT99-2,72.4009,-69.3484,15.633,0.038,16.495,0.03,16.579,0.0251,16.447,0.072,16.065,0.035,15.867,0.045,15.552,0.088,14.918,0.037,14.511,0.043,14.461,0.105,,,,,WR
Sk -67 4,72.46641527777777,-67.68746944444443,11.843,0.01,12.914,0.01,13.076,0.0101,13.079,0.038,13.393,0.023,13.438,0.024,13.478,0.026,13.508,0.027,13.504,0.029,13.566,0.049,13.545,0.051,,,OBA
Sk -70 2,72.49170666666666,-70.35077666666666,12.893,0.01,13.584,0.01,13.576,0.0101,13.519,0.04,13.435,0.023,13.426,0.023,13.435,0.026,13.397,0.037,13.238,0.036,13.045,0.126,,,7.363,0.02723,OBA
Sk -67 5,72.57883444444444,-67.66056055555555,10.244,0.145,11.115,0.144,11.377,0.0851,11.322,0.115,11.578,0.022,11.61,0.024,11.619,0.021,11.606,0.026,11.565,0.019,11.553,0.027,11.501,0.031,,,OBA
Sk -67 6,72.87808222222222,-67.47299972222221,12.333,0.01,13.424,0.01,13.636,0.0101,13.712,0.141,13.978,0.022,14.09,0.025,14.138,0.034,14.147,0.03,14.156,0.041,14.131,0.049,14.07,0.095,,,OBA
LH2-23,72.94604499999998,-69.31786361111111,12.413,0.01,13.324,0.01,13.156,0.0101,13.43,0.043,13.414,0.059,13.255,0.099,13.232,0.128,,,13.568,0.092,13.758,0.101,,,,,OBA
BI 4,72.9947511111111,-68.7733611111111,13.388,0.05,14.32,0.022,14.4,0.0281,14.615,0.042,14.728,0.023,14.729,0.03,14.773,0.049,14.859,0.048,14.826,0.063,14.655,0.119,,,,,OBA
LH2-142,73.03800194444443,-69.34325416666665,12.293,0.01,13.314,0.01,13.466,0.0101,13.722,0.039,13.843,0.027,13.875,0.029,13.913,0.034,13.918,0.044,13.88,0.045,14.022,0.116,,,,,OBA
LH2-223,73.07592,-69.3365861111111,11.803,0.01,12.804,0.01,12.946,0.0101,12.95,0.053,13.077,0.023,13.117,0.025,13.148,0.026,13.132,0.033,13.104,0.032,13.034,0.058,,,,,OBA
Sk -66 1,73.07954416666665,-66.73147583333332,10.709,0.104,11.455,0.133,11.635,0.0741,11.482,0.119,11.656,0.023,11.627,0.023,11.665,0.028,11.521,0.027,11.503,0.026,11.437,0.034,11.423,0.04,,,OBA
